date,code,open,high,low,close,volume,amount,turn,pctChg
2020-05-08,sh.600519,1141.0646040000,1159.2592560000,1133.7087661200,1138.9938793200,2907868,3839218026.0000,0.231500,0.198900
2020-05-11,sh.600519,1143.6638400000,1156.6600200000,1138.1794520400,1146.2717401200,2367119,3135990964.0000,0.188400,0.639000
2020-05-12,sh.600519,1141.9310160000,1156.6513558800,1140.1981920000,1154.9271960000,1972181,2621824685.0000,0.157000,0.755100
2020-05-13,sh.600519,1154.9271960000,1159.2505918800,1146.1591065600,1157.4831114000,2201431,2931464950.0000,0.175200,0.221300
2020-05-14,sh.600519,1152.3279600000,1156.5560505600,1148.0912053200,1149.3734950800,1857492,2467976357.0000,0.147900,-0.700600
2020-05-15,sh.600519,1151.4615480000,1155.3604020000,1127.9644545600,1137.5989560000,2639808,3469736812.0000,0.210100,-1.024400
2020-05-18,sh.600519,1131.5340720000,1170.9558180000,1130.7802935600,1166.3724985200,3436211,4587989708.0000,0.273500,2.529300
2020-05-19,sh.600519,1181.7859680000,1181.7859680000,1159.2592560000,1166.2858573200,2478746,3342210487.0000,0.197300,-0.007400
2020-05-20,sh.600519,1166.2858573200,1177.6098621600,1158.2282257200,1170.5226120000,2118340,2859455106.0000,0.168600,0.363300
2020-05-21,sh.600519,1173.9882600000,1188.6826075200,1172.1341383200,1183.6054332000,2305158,3147105462.0000,0.183500,1.117700
2020-05-22,sh.600519,1183.5187920000,1183.6054332000,1146.1591065600,1150.7684184000,3442746,4608696074.0000,0.274100,-2.774300
2020-05-25,sh.600519,1152.3279600000,1184.0213109600,1144.5302520000,1180.8329148000,3156100,4260387678.0000,0.251200,2.612600
2020-05-26,sh.600519,1186.8804705600,1186.9411194000,1173.9882600000,1176.5874960000,2247019,3056188321.0000,0.178900,-0.359500
2020-05-27,sh.600519,1177.4539080000,1178.3203200000,1154.9271960000,1159.2592560000,2677741,3596654307.0000,0.213200,-1.472800
2020-05-28,sh.600519,1159.2332636400,1167.0049792800,1144.6428855600,1164.4577280000,2648591,3536546893.0000,0.210800,0.448400
2020-05-29,sh.600519,1154.1474252000,1186.9671117600,1154.1474252000,1184.0386392000,3044435,4144247222.0000,0.242400,1.681500
2020-06-01,sh.600519,1196.5149720000,1230.3916812000,1196.5149720000,1229.8718340000,3547976,4986178912.0000,0.282400,3.870900
2020-06-02,sh.600519,1226.8480561200,1237.1496948000,1218.7471039200,1222.2560725200,2596010,3679210598.0000,0.206700,-0.619200
2020-06-03,sh.600519,1225.9729800000,1228.1390100000,1209.3118772400,1212.3703116000,2355736,3308382799.0000,0.187500,-0.808800
2020-06-04,sh.600519,1209.5111520000,1222.5073320000,1209.5111520000,1219.8994318800,1803741,2534459742.0000,0.143600,0.621000
2020-06-05,sh.600519,1217.5254630000,1237.9987785600,1213.9125249600,1234.6371000000,1834706,2597524609.0000,0.146100,1.208100
2020-06-08,sh.600519,1234.6371000000,1243.3012200000,1214.7182881200,1218.2619132000,2930045,4145298455.0000,0.233200,-1.326300
